PU,Species,Genus,NRRL,CBS,Other,Hittinger,Cellobiose,Citrate,D-Glucosamine,Fructose,Galactose,Glycerol,L-Arabinose,L-Sorbose,Lactose,Maltose,Mannose,myo-Inositol,Rhamnose,Xylose,Raffinose,Sucrose,DL-Lactate
26273,Kodamaea nitidulidarum ,Kodamaea,NRRL Y-27353, CBS 8491,NA,NA,0,0.163066851,0.100778929,0.467769906,0.351651816,0.144033703,0,0.423777914,0,0.300040628,0.942909988,0,0.038577438,NA,0.533825835,0.932719768,0
34664,Kodamaea anthophila ,Kodamaea,NRRL Y-27355, CBS 8494,NA,NA,0.885862854,0.269260873,0,0.821615111,0.694953573,0.063949696,0,0.574178044,0,0.632470131,0.738810226,0,0.01078644,0.195801826,0.349885109,0.616978537,0
34665,Kodamaea laetipori ,Kodamaea,NRRL Y-27713, CBS 9884,NA,NA,0.47737823,0.071879108,0,0.462977692,0,0,0,0,0,0.836431884,0.475221212,0,0.010778336,0.364211382,0,0.423654447,0
35677,Kodamaea ohmeri,Kodamaea,NRRL Y-1932, CBS 5367,NA,NA,0.069667377,0.172758998,0.020336501,0.323858729,0.25865379,0.154298934,0,0.04786664,0,0.438274598,0.760718967,0,0.01635295,0.005237289,0.072080851,0.474825299,0
38060,Kodamaea kakaduensis ,Kodamaea,NA,CBS 8611 ,NA,NA,0.235933826,0,0,0.572072606,0.161128238,0.065506152,0,0.278417628,0,0.558446559,0.455806103,0,0.010733987,0.028794253,0.21957681,0.576496351,0
26274,Komagataella populi,Komagataella,NRRL YB-455, CBS 12362,NA,NA,0,0,0,0.701298515,0,0.407669736,0,0,0,0,1.174304825,0,0.448215635,0.068885067,0,0.410993621,0
34938,Komagataella ulmi,Komagataella,NRRL YB-407, CBS 12361,NA,NA,0,0,0,0.438137596,0.339378221,0.228380481,0,0,0,0,0.840438658,0,0.497571882,0.251618338,0,0.246816247,NA
34939,Komagataella pseudopastoris,Komagataella,NRRL Y-27603, CBS 9187,NA,NA,0,NA,0,0.628345768,0,0.315298108,0,NA,0,0,0.744509716,0,0.362037494,0.198902296,0,0.341404579,0
34941,Komagataella phaffii,Komagataella,NRRL Y-7556, CBS 2612,NA,NA,0,0,0,0.71229353,0,0.381146873,0,0,0,0,0.739576443,0,0.216246536,0.220651298,0,0,0
34953,Komagataella pastoris,Komagataella,NRRL Y-1603, CBS 704,NA,NA,0,0,0,0.608255176,0,0.303611226,0,0,0,0,0.756662835,0,0.157944987,0.166347015,0,0.191600372,0
35676,Komagataella kurtzmanii,Komagataella,NRRL Y-63667, CBS 12817,NA,NA,0,0,0,0.452583545,0.169436529,0.206367375,0,0,0,0,0.637442077,0,0.190584151,0.375540696,0,0.243342458,0
37220,Komagataella mondaviorum,Komagataella,NA,CBS 15017,NA,NA,0,0,0,0.628315885,0,0.318263914,0,0,0,0,1.068819761,0,0.191725783,0,0.410958989,0.687018353,0
26068,Kregervanrija pseudodelftensis ,Kregervanrija,NRRL Y-5494, CBS 10105,U40115,NA,0,0,0,0.563192966,0,0,0,0,0,0,1.840045463,0,0.043298703,0.012946427,0,0.345648005,0
35674,Kregervanrija delftensis ,Kregervanrija,NRRL Y-7119, CBS 2614,NA,NA,0,0,NA,0,0,0,0,NA,0,0,0.795798266,0,0.15845147,0.245128085,0,0,0
35675,Kregervanrija fluxuum,Kregervanrija,NRRL YB-4273, CBS 2287,NA,NA,0,0,NA,0,0,0,0,0,0,0,0.536428309,0,0,0.021219788,0,0,0
34931,Kuraishia piskuri,Kuraishia,NRRL YB-2544, CBS 13714,NA,NA,0.777284791,0,0,0.678531884,0,0,0,0.578008464,0.551021469,0.458828949,0.817425568,0,0.108500304,0.35370735,0,0.214988128,0.610158651
